Zipcode,Address,Population_x,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count,Population_y,Unemployment Rate
10007,"New York, NY 10007, USA",6525,34,216037,157713,2.206896552,40.7136487,-74.0087126,200,6525,2.83524904215
63935,"Doniphan, MO 63935, USA",9863,42.5,31208,16144,27.92253878,36.6488463,-90.9438468,0,9863,5.65750785765
17327,"Glen Rock, PA 17327, USA",8190,46.7,67791,32177,3.504273504,39.7719423,-76.7567368,18,8190,6.32478632479
22952,"Lyndhurst, VA 22952, USA",2088,46.3,43095,23158,5.651340996,37.9545568,-78.9627624,0,2088,2.82567049808
57568,"Presho, SD 57568, USA",647,45.2,51700,28055,7.882534776,43.9119937,-100.1255164,1,647,0.927357032457
4010,"Brownfield, ME 04010, USA",1336,47.6,45592,25609,10.62874251,40.4342726,-77.236526,3,,
55060,"Owatonna, MN 55060, USA",28884,39.4,54945,27727,10.4313807,44.0888533,-93.2181477,12,28884,3.81179891982
62633,"Easton, IL 62633, USA",690,50.3,56250,27852,7.536231884,40.2065985,-89.8692203,1,690,6.08695652174
96783,"Pepeekeo, HI 96783, USA",2149,40.4,31705,17613,21.77757096,19.8344853,-155.1135807,0,2149,6.7473243369
56453,"Hewitt, MN 56453, USA",855,41,50089,21875,12.86549708,46.3037542,-95.1628544,0,855,3.3918128655
16870,"Port Matilda, PA 16870, USA",6735,39.1,84808,37320,3.414996288,40.8033255,-78.0880129,0,6735,2.2568671121
30152,"Kennesaw, GA 30152, USA",41689,36.7,74559,35046,7.404831011,34.0041089,-84.6583745,39,41689,5.32754443618
44305,"Akron, OH 44305, USA",21899,37.6,36944,18868,23.43486004,41.0745913,-81.460856,95,21899,7.90903694233
47232,"Elizabethtown, IN 47232, USA",3280,37.4,60128,21838,13.35365854,39.1100449,-85.7974141,0,3280,6.28048780488
54822,"Cameron, WI 54822, USA",4585,39.9,48598,22565,11.23227917,45.4180506,-91.7211948,7,4585,3.42420937841
30666,"Statham, GA 30666, USA",9287,37.3,53627,23167,8.301927425,33.9527142,-83.581615,3,9287,6.54678582965
36858,"Hatchechubbee, AL 36858, USA",540,37.4,71563,25395,2.407407407,32.2912801,-85.2929384,0,540,1.66666666667
38870,"Smithville, MS 38870, USA",2559,40.8,53443,22094,7.463853068,34.0752962,-88.3433623,1,2559,3.20437670965
49269,"Parma, MI 49269, USA",5954,43,48185,24291,19.83540477,42.2859231,-84.5850997,1,5954,6.63419549882
13495,"Yorkville, NY 13495, USA",2168,38.4,48576,24413,9.086715867,43.1142866,-75.2741557,31,2168,7.19557195572
58494,"Wing, ND 58494, USA",357,42.2,48500,29216,5.602240896,47.1813085,-100.3049045,1,357,2.80112044818
23602,"Newport News, VA 23602, USA",39925,36.7,61343,30030,10.43456481,37.1120848,-76.5372625,56,39925,4.11772072636
11105,"New York, NY 11105, USA",36190,35.3,57525,33537,13.53688864,40.7787902,-73.9065883,200,36190,5.66731141199
71340,"Harrisonburg, LA 71340, USA",1612,33.7,30560,19909,8.498759305,31.8200828,-91.851343,2,1612,3.1017369727
7606,"South Hackensack, NJ 07606, USA",2371,39.4,68750,33300,4.555040067,47.3688642,-124.2303763,1,,
84072,"Tabiona, UT 84072, USA",529,30.3,48654,18735,0.756143667,40.3536565,-110.7360863,0,529,0.0
12148,"Rexford, NY 12148, USA",4322,44.2,107540,44237,1.758445164,42.840262,-73.8536683,54,4322,1.38824618232
55435,"Minneapolis, MN 55435, USA",12286,46.9,56213,47347,3.898746541,44.8721412,-93.3338547,116,12286,2.20576265668
54747,"Independence, WI 54747, USA",2583,39,41755,22124,16.2601626,44.4083424,-91.5015009,0,2583,3.09717382888
67835,"Cimarron, KS 67835, USA",3105,33.4,52188,22510,13.68760064,37.9900677,-100.3048897,0,3105,2.73752012882
66614,"Topeka, KS 66614, USA",31709,38.8,53673,30118,11.87675423,39.013101,-95.85121,17,31709,3.15367876628
8324,"Heislerville, NJ 08324, USA",670,42.5,67772,28069,14.47761194,46.9806601,15.7416507,7,,
60433,"Joliet, IL 60433, USA",17220,35.4,43644,18967,18.63530778,41.4997384,-88.0460894,34,17220,8.37979094077
27249,"Gibsonville, NC 27249, USA",12596,42.1,50095,25651,10.86852969,36.1663776,-79.5940544,0,12596,4.89838043823
95008,"Campbell, CA 95008, USA",45187,37.3,87204,44023,7.395932458,37.2770029,-121.9529992,165,45187,4.68497576737
30601,"Athens, GA 30601, USA",21349,26,20884,13402,47.20127406,34.006845,-83.3468784,27,21349,4.72153262448
81087,"Vilas, CO 81087, USA",192,26.8,34500,13210,2.083333333,37.3507103,-102.4495221,0,192,2.60416666667
1527,"Millbury, MA 01527, USA",13264,43,71832,32329,5.247285887,33.6538868,-81.5989971,1,,
78214,"San Antonio, TX 78214, USA",23611,33.6,27222,13595,34.17898437,29.3172731,-98.4677851,30,23611,5.62026174241
8872,"Sayreville, NJ 08872, USA",20041,37.7,72956,32666,6.366947757,47.14149,9.0980613,15,,
23832,"Chesterfield, VA 23832, USA",32263,37.2,75942,31379,4.745373958,37.3976686,-77.5963271,29,32263,3.9301986796
78414,"Corpus Christi, TX 78414, USA",33033,34,75971,33464,5.542941907,27.6474296,-97.3624598,26,33033,2.23412950686
77880,"Washington, TX 77880, USA",1637,48.8,38672,25386,17.95968235,30.2674226,-96.1739116,0,1637,1.71044593769
49234,"Clarklake, MI 49234, USA",2665,47.3,58250,30245,16.62288931,42.1277049,-84.3647199,1,2665,1.53846153846
55396,"Winthrop, MN 55396, USA",2231,41.8,48919,23296,13.5365307,44.580169,-94.356513,3,2231,3.36172120126
2717,"East Freetown, MA 02717, USA",4356,42.8,81150,32987,3.558310376,46.1252335,-86.5191127,0,,
78072,"Tilden, TX 78072, USA",570,41.2,42083,21532,20.70175439,28.2610528,-98.6160674,0,570,0.526315789474
3448,"Gilsum, NH 03448, USA",662,50.8,45417,26556,12.08459215,36.8491276,-83.4786993,0,,
76377,"Petrolia, TX 76377, USA",787,41.3,48750,22710,6.861499365,34.0190414,-98.2760021,0,787,2.66836086404
27358,"Summerfield, NC 27358, USA",14998,43,88382,40210,4.320576077,36.2345022,-79.8856824,4,14998,2.65368715829
34224,"Englewood, FL 34224, USA",15432,60.1,39645,24929,14.34033178,26.9288268,-82.3126294,18,15432,5.5598755832
62025,"Edwardsville, IL 62025, USA",33736,35.2,72877,34115,9.097106948,38.8414469,-89.9440061,24,33736,3.74377519564
87528,"Dulce, NM 87528, USA",3405,29,39725,16182,20.76358297,36.7078973,-106.9594723,0,3405,7.63582966226
32025,"Lake City, FL 32025, USA",23341,35.2,39916,17493,16.04472816,30.111156,-82.5834947,0,23341,8.2430058695
61929,"Hammond, IL 61929, USA",652,45.7,47891,23964,5.214723926,39.8295453,-88.6530753,1,652,4.44785276074
18223,"Ebervale, PA 18223, USA",122,43.7,49458,37056,25.40983607,40.9922168,-75.9350072,25,122,25.4098360656
30236,"Jonesboro, GA 30236, USA",44082,33.9,40107,21374,22.28347171,33.5213067,-84.3226488,28,44082,7.89664715757
98106,"Seattle, WA 98106, USA",23855,35.3,57875,27922,16.38230979,47.5476069,-122.3514653,173,23855,5.81848669042
41073,"Bellevue, KY 41073, USA",5810,37.7,53396,26881,9.432013769,39.0992398,-84.4776372,190,5810,6.24784853701
66052,"Linwood, KS 66052, USA",2021,42.8,57848,27076,6.82830282,39.0141289,-95.0494602,0,2021,5.59129143988
61270,"Morrison, IL 61270, USA",7159,45.2,54206,27990,8.436932532,41.8004348,-89.9626799,6,7159,4.28830842296
61604,"Peoria, IL 61604, USA",31427,36.8,40630,21137,21.60880771,40.7001416,-89.6581073,50,31427,5.27253635409
85383,"Peoria, AZ 85383, USA",38400,36.7,101526,37735,3.5703125,33.7868136,-112.28609,5,38400,2.74479166667
15206,"Pittsburgh, PA 15206, USA",29098,36.6,33792,27733,20.10103787,40.4720642,-79.9136731,168,29098,5.85607258231
64639,"De Witt, MO 64639, USA",257,48.9,57917,25446,4.280155642,39.3794032,-93.238251,0,257,1.94552529183
49639,"Hersey, MI 49639, USA",2617,40.7,41570,17687,14.97898357,43.8312621,-85.3756249,0,2617,9.32365303783
32683,"Otter Creek, FL 32683, USA",337,45.9,36563,13575,59.94065282,29.2720518,-82.7751622,0,337,21.9584569733
62340,"Griggsville, IL 62340, USA",1569,43.8,38036,20380,20.84130019,50.8621076,1.8577529,7,1569,2.29445506692
624,"Peñuelas, 00624, Puerto Rico",25340,34.2,14768,6761,59.56985004,37.1651421,-82.5247603,8,,
10913,"Blauvelt, NY 10913, USA",5175,41.8,122857,46193,1.835748792,41.0711228,-73.9536163,70,5175,3.61352657005
24137,"Penhook, VA 24137, USA",2893,46.3,54979,30491,11.61424127,36.9109694,-79.6726632,0,2893,3.38748703768
27853,"Margarettsville, NC 27853, USA",659,42.8,25966,11178,40.06069803,36.5219992,-77.3209555,0,659,2.27617602428
6444,"Marion, CT 06444, USA",134,29.7,103636,22178,0,35.9801029,-93.768637,0,,
76599,"Gatesville, TX 76599, USA",1480,35,,8815,0,31.4748803,-97.7367476,6,1480,0.0
52141,"Elgin, IA 52141, USA",1390,42.5,39679,21960,18.34532374,42.9497646,-91.6178011,1,1390,1.72661870504
692,"Vega Alta, 00692, Puerto Rico",37618,35,18500,9273,49.20250944,37.2258653,-80.0582318,56,,
56343,"Kensington, MN 56343, USA",930,42.4,48417,24153,8.924731183,45.7800013,-95.7209968,2,930,3.22580645161
17946,"Lost Creek, PA 17946, USA",215,62.1,15469,10440,59.53488372,40.8058719,-76.2445864,12,215,6.51162790698
84020,"Draper, UT 84020, USA",42751,30.4,89922,33164,4.392879699,40.4960215,-111.8687825,45,42751,2.06077050829
93428,"Cambria, CA 93428, USA",6393,58.4,59813,40682,7.961833255,35.5925142,-121.0564425,2,6393,3.98873768184
24083,"Daleville, VA 24083, USA",2277,46.4,91295,47678,0.658761528,37.4047916,-79.9248669,19,2277,4.56741326307
59846,"Huson, MT 59846, USA",1148,58.5,52891,26606,10.27874564,47.1334522,-114.4918933,0,1148,4.4425087108
5492,"Waterville, VT 05492, USA",727,41,53315,23399,12.1045392,55.392363,10.1473917,2,,
10803,"Pelham, NY 10803, USA",12439,39.7,140000,73808,3.006672562,40.8996475,-73.8036752,191,12439,2.06608248251
30177,"Tate, GA 30177, USA",1369,35.9,33866,15101,10.44558072,34.4153599,-84.3726049,5,1369,1.09569028488
27043,"Pinnacle, NC 27043, USA",6225,46,48410,24449,15.96787149,36.3334581,-80.4326521,7,6225,3.50200803213
60437,"Kinsman, IL 60437, USA",157,49.8,36563,23715,8.917197452,41.1815419,-88.5661953,0,157,2.54777070064
41649,"Martin, KY 41649, USA",3004,41.4,25458,15356,28.36218375,37.5806385,-82.8317486,3,3004,0.699067909454
97396,"Willamina, OR 97396, USA",2827,44.3,36848,18929,16.94375663,45.1916734,-123.514262,0,2827,8.56031128405
35475,"Northport, AL 35475, USA",14315,33.9,69924,28117,3.548725114,33.4368605,-87.5593613,0,14315,3.70241005938
54022,"River Falls, WI 54022, USA",21786,28.8,60016,27608,14.18801065,44.858921,-92.5792482,6,21786,3.46552832094
76638,"Crawford, TX 76638, USA",3083,41.2,77679,36692,7.362958158,31.5368553,-97.4489531,1,3083,2.23807979241
28327,"Carthage, NC 28327, USA",15333,40.6,51609,23841,14.78510402,35.40687,-79.4253776,5,15333,5.00880453923
19023,"Darby, PA 19023, USA",22710,30.2,38790,18351,24.02025539,39.9200613,-75.2683228,197,22710,7.06737120211
72722,"Decatur, AR 72722, USA",3171,37.7,37198,16971,22.23273415,36.3438006,-94.4284985,2,3171,1.10375275938
85262,"Scottsdale, AZ 85262, USA",11034,54.4,125884,80227,2.872938191,33.791108,-111.8091625,2,11034,1.54975530179
76031,"Cleburne, TX 76031, USA",17360,36.1,46714,20226,15.69700461,32.3470049,-97.330053,15,17360,4.56221198157
57429,"Brentford, SD 57429, USA",109,36.1,40000,20763,2.752293578,45.1612271,-98.3147793,0,109,0.0
4622,"Cherryfield, ME 04622, USA",1480,40.8,40104,20084,17.77027027,32.1379646,-94.999149,0,,
17938,"Hegins, PA 17938, USA",2489,42.7,58409,23520,4.660506227,40.6551387,-76.4910093,3,2489,4.90156689434
50543,"Gowrie, IA 50543, USA",1562,44.5,44583,23616,15.87708067,42.2750407,-94.2743628,2,1562,3.00896286812
8234,"Egg Harbor Township, NJ 08234, USA",42491,39.3,71316,29387,8.020521993,47.3908128,15.9799981,11,,
94539,"Fremont, CA 94539, USA",51494,41.2,143949,50701,3.625665126,37.5148444,-121.9131761,57,51494,3.34213694799
52533,"Batavia, IA 52533, USA",1626,42.6,49938,21050,7.626076261,41.0393072,-92.1646722,0,1626,4.18204182042
12456,"Mt Marion, NY 12456, USA",707,37.5,48993,17639,2.121640736,42.0344874,-73.9976946,12,707,6.36492220651
48191,"Willis, MI 48191, USA",3736,41.8,72204,25659,10.59957173,42.1247778,-83.5603112,0,3736,6.69164882227
13402,"Madison, NY 13402, USA",1587,46.4,43387,19660,22.0541903,42.8958176,-75.5160235,4,1587,1.0081915564
21061,"Glen Burnie, MD 21061, USA",53491,36,60430,29841,10.73077714,39.1511679,-76.6239423,68,53491,4.79332971902
7724,"Eatontown, NJ 07724, USA",21758,41.7,78064,39958,6.135674235,31.8704128,-85.9890392,3,,
97022,"Eagle Creek, OR 97022, USA",3208,43.9,66927,24343,10.28678304,45.3551259,-122.3293482,8,3208,6.92019950125
38049,"Mason, TN 38049, USA",4572,36.2,32386,24972,20.8223972,35.3676615,-89.5308903,0,4572,5.57742782152
27262,"High Point, NC 27262, USA",24635,38.5,39867,22889,21.29490562,35.9679365,-80.0423151,31,24635,5.59772681145
53588,"Spring Green, WI 53588, USA",3831,44.8,58086,29862,9.814669799,43.2133937,-90.1120696,6,3831,1.69668493866
79021,"Cotton Center, TX 79021, USA",104,26.5,56250,17961,25.96153846,33.9500835,-102.0004411,0,104,0.0
68930,"Blue Hill, NE 68930, USA",1430,44.7,44643,22939,11.11888112,40.2860295,-98.4403573,1,1430,1.3986013986
17774,"Unityville, PA 17774, USA",1261,35.7,45795,20033,13.79857256,41.2642364,-76.5257007,0,1261,2.37906423473
